Lable,Topic,Text
1,FAulty product,"I've ordered, from Amazon, this product before as replacement cartridge for my Brother printer and never had a problem until this time. When I replaced the out-of-toner cartridge that was in my printer with this replacement cartridge the replacement failed in about three weeks time. My printer indicated it was out-of-toner. I removed the cartridge two times and shook it each time thinking that it would solve the problem. It did not. I telephone Brother and followed the representative's instructions and found that the security tape on the side of the cartridge had been ripped before I received it and was the cause of cartridge failure. I ordered another cartridge from Amazon to replace that one and installed it in my machine. Hopefully it will not fail me as the security tape on the side of the new one was intact."
1,"On-Stage Microphone 13-inch Gooseneck, Black","This gooseneck, after having been flexed a mere handful of times, began to break: inferior quality! The whole point of a gooseneck attachment is that you can bend it, and this one did not like to bend."
1,Far Too flexible for use with a professional microphone,I purchased 2 of these items to use with my band for the guitarists. I was disapointed when I mounted a Shure sm 58 mic on it and found that the goose neck would not stay erect. These are made far too loose and flexible for most professional mics. They may work on very small and light weight units but for my needs they are totally unuseable. It would have been helpful to include the suggested weight that this goose neck would support in the sales description. I wasted my money. Don't waste yours. Perhaps viagra would be helpful ;-)
1,Flimsy but I made it work,This gooseneck is pretty flimsy. I ended up filling it with epoxy in the shape that I wanted it. Now it will hold anything.It gets the job done though and the price was right.
1,They are ok,"Soft and pretty sheets, even though they are not queen size, they run smaller and more after first wash, something that never happened with any other sheets I've bought so far. The color gets lighter in time. They are ok."
1,"Very different, but interesting.","This was a strange and confusing book. It's about Frank Yerby, he is on his deathbed, and really unhappy about it. He's a writer who's books don't have readers, and the characters of his books aren't happy about that either. I thought was a really odd book.The book did wander, and even though I understood the basic message I just couldn't really understand it all. Maybe it is for greater minds than mind I don't know."
1,Confusing,"This is the second novel I have read from this author and while I enjoyed the first one, this one simply confused me. Stovall takes a look at one of his favorite subject matters - the role of black people in society and in particular, in this novel, their victimization - through the eyes of a ""somewhat"" forgotten novelist - Yerby who has been on record as saying that black people are responsible for their lot in life.Yet, at the same time, they are asking Yerby to recant his words or they may never exist again.I found this book highly confusing to read and although I got the basic message coming out of the storyline, it felt as though the role of Yerby was overextended greatly.I am still scratching my head on this one."
1,The least accessible of all Residents recordings,"The Big Bubble has an intersting, if not original, concept: a musical group makes recordings in their native language in defiance of the law, and become a hit. Is this a dream the Residents have for themselves? This is a part of the entire Mole legend that the Residents dreamed up, and have used in four previous recordings (Mark of the Mole, The Mole Show Live, The Tale of Two Cities, Intermission) However, as a whole, the Big Bubble is not a success. Using some of the most unlistenable singing the Residents ever released, and some of the most unlistenable music. I say this from the angle of a long-time (since 1978) Residents fan.There are some interesting cuts, especially Cry for Fire (which can be best described as bad sex followed by an incredible orgasm) but get this only if you are a die hard - gotta have it all fan."
1,Terrible.. One of the worst albums ever in history,"I bought this album when it first came out on vinyl. When I got it home, I was gravely dissapointed. I had been enthralled with The Residents up to that time, and absolutley loved The Mark Of The Mole and Intermission. This album came out and I was expecting the Mole Story to be further advanced, and all I got was just a bunch of wordless moaning and groaning and gibberish that sounded like it was coming from an person suffering from autism along side of some of the worst song lyrics of all time. I immediatley sold it back to the store."
1,Live,"I bought this album thinking it was a greatest hits compilation. I was wrong. It's a LIVE ALBUM. I have not listened to any more than what it took to hear the applause in the beginning of all the tracks, so I can't vouch for the quality of the recording itself. But if you are looking for the original hits, don't buy this import! Sedaka fans might want it for their collection, I don't know, someone else might want to write a review of the quality of the performance. But if all you want are the original recordings of the latter part of Sedaka's career, look elsewhere. You will not find them here."
1,New formula is not better than before.,"I've been using Ciment Anti-Usure for five or six years now. I have fine, thin hair and it was the perfect conditioner for me. It made my hair soft and manageable with no flyaway static problems, even in the dead of winter. I just started using my first bottle of the new formula about a month ago, and I am not a fan. My hair looks limp and greasy, yet I have so much static going on my bangs constantly stick to my face. My natural wave is hardly noticeable with the new formula."
1,Sedaka Sings Elevator Music,"Listening to this, I truly realized that Sedaka made his greatest contributions to pop music in the '50's and '60's. Aside from the few hits (Laughter in the Rain, Bad Blood, Lonely Nights, etc.) he produced in the '70's, Sedaka's M.O.R. ""Second career"" mainly produced songs for the Geritol set. Buy yourself a good early Sedaka compilation (Sings the Hits comes to mind) and give this one to your grandparents."
1,Do not bother. Cannot hold the weight. Flimsy!,"This product is terrible. It cannot hold the weight of any microphone over 1 lb, and I would question that, based on your angle of use. It is terribly made with flimsy construction and I do not recommend its purchase. Look for a more sturdy built construction gooseneck mic holder. They are out there, it's just not this one. Fortunately Amazon was great about their return policy, which I appreciate. Thank you Amazon for at least having a positive return experience."
1,Received a refurbished cartridge,"When I bought the Brother TN350 Black Toner Cartridge, I was under the impression that I was getting a new cartidge (probably due to the picture), but received a refurbished cartridge. Other than that, the price and delivery were good."
1,Disapointment Pirate Ship,"Well I too am disappointed in this purchase. I bought this for my son's 4th Birthday and I have been putting it together ever since! The pieces fall off, nothing stays where it should. I understand the concept of building and rebuilding but it should be because you want to not because it keeps falling apart. I am seriously thinking of super gluing all if the pieces together (except the pirates). I can't believe that Fisher Price would make something so flimsy that you can't play with it."
1,Poor Quality,I would suggest paying a little more and getting a better quality toner cartridge. Since installing it I have been getting black spots and specs of toner all over my printouts and copies. I would not purchase these again.
1,Too terse and academic,"This book tries to cover far too much in too little space, much of which is taken up by examples that are not that great and lack any type of highlighting, arrows, boxes, etc. that would help you quickly find the relevant pieces.Regardless of whether the author had a page limit or simply favors a terse and academic style, the net result was that I had to seek other sources to understand numerous points, and they universally explained the topic much more logically and in an easy to follow and, more importantly, read fashion.All in all a very painful read."
1,Semi-techie's evaluation,"This book tells you what you need to know. However, it is a bit of a hard slog because it doesn't tell you why you need to know it. It also throws in obscure acronyms and not only expects you to know what they stand for, but what those protocols/standards/programs imply. Yes, you can learn all you need to know about SQL schema, (and more than you need to know - without telling you why you need to know it, you don't know what to skip), but it is a little more painful than it has to be."
1,Sloppy editing an embarrassment for O'Reilly,"This book appears to have been thrown together overnight, without the attention of a proofreader or content editor. While I can't say it's actually missing important content, it is certainly the sloppiest O'Reilly book I've ever read. The very first example (on p. 6) is a glaringly ill-formed XML document (the second line contains spurious junk text, as if from a word-processing error), and it just continues from there. The book contains numerous apparent ""cut-and-paste"" errors of this kind, as well as evidence that global search-and-replace operations were hastily performed on the entire text without subsequent proofreading. What's up, O'Reilly?"
1,An Editing Nightmare,"This book had potential to be a definitive guide to XML schema. This is not the kind of book you can pick up and read cover to cover (unless insomnia is a real condition for you, in which case this book may help). It is, by no means, a tutorial of XML schema - or even a reference. It's more of an exploratory academic walk of the W3C recommendation and all of its foibles and nuances. There is wealth of information in this book, if you can glean it out from inbetween the droning prose and historical diatribe.O'Reilly should be shamefully embarassed for ever letting this book go to print in the condition it is. It is replete with errata, typos, and slopped together examples. This book is destined to frustrate those new to XML schema. An uncharacteristicly poor level of quality for O'Reilly."
1,Doesn't Work,I'm sorry I wasted money on this. It didn't even slightly work. It just made my glasses kind of greasy with black streaks before it was completely wiped away.
1,Didnt work,"This item does not come with a buffing cloth, and did nothing for the light scratches on my eyeglasses or sunglasses."
1,Not quite as expected,"I ordered a remanufactured Brother TN350 Black Toner Cartridge. A cartridge arrived quickly and works in the printer.HOWEVER, the cartridge which arrived was not a remanufactured Brother cartridge, but rather a third-party cartridge. I specifically chose this item because it was a Brother cartridge, not a third-party cartridge.Since the cartridge is for my daughter in college, we do not have time to hassle with this issue, so for pragmatic reasons I have accepted the cartridge. However, the advertisements and picture are not correct."
1,Best of Dick and Dee Dee,I was not impressed with the sound quality of this CD. I did not think that it sounded like the original. I would not recommend this product.
1,"I did not want to, but I did read it.","The review title says it all. I believe for one to get an accurate perspective, one must read both sides. Anyone living through the Vietnam Era and serving in the military through this would truly like to burn this book.Those that were on the ""peace"" side need to be thanked. Thank them for aiding a people killing 58,000 American soldiers, thank them for helping kill 4.5 million Laotians, Cambodians and Vietnamese. It was there peace movement that forced the politicans to abandon these people and leave them to be slaughtered by the enemy they aided.The activists and supporters of the peace movements have the blood of these millions on their hands. This book needs to read by all those that want to know and understand the peace movements of that day and this day are nothing more than appeasements to those wishing to destroy the freedoms so many have died for.This book is trash."
1,ali wants nelly's spot bad,ali never had a serious fanbase cept for being affiliated with nelly so if you';re a serious goodie mob or gipp fan pick it up ugk pops up on here troo so get it only for that too bad st. louis rappers are'nt getting much play I'd rather spend my money on murphy lee's project.
1,Not as advertised,The item I received was NOT CORRECT. Wrong picture posted!!! I couldn't use the product.
1,Not worth the money,My 5 year old BEGGED for this toy for Christmas. He has only played with it maybe 3 times in 4 months. It comes apart too easily and my 5 year old can't put it back together himself.
1,A very poorly written book,"The ""Author's Note"" irritated me (check out the first and last sentences) and the first paragraph of the book irritated me even more. This goes beyond writing style or inventive wordplay ala Riddley Walker or Feersum Endjinn - Foy seems oblivious to the basic rules of grammar. After reading the first page I flipped through at random and it didn't get any better. This book got thrown across the room, then picked up and put in the bin. However judging by some of the other write-ups it contains some very good ideas. So read the first page - if this doesn't bug the **** out of you maybe you'll enjoy it."
1,"Written for the academic world, not the business world","I'd advise that this one be avoided if you're looking for practical methods of actually managing design alliances. The entire book is really just an exhaustive definition of the concept of design alliances, with detailed descriptions of the various types that exist. No real practical information for the manager or executive looking for help with any one particular situation."
1,More appropriate for 6yrs & up...,"My son received the Imaginext ship for his 4th birthday. He's a dextrous little guy, but this ship does not stay together despite help from an adult. The ship and accessory components are packaged in sections and must be assembled. Much of the assembly was easy enough for a child to do but, the toy wasn't fun because the sections of ship so not stay together when playing with the ""finished"" item. The masts fall off, and the main peices of the ship separate when you don't want them to. My son was so discouraged he asked if we could return it for a toy that ""works right"". We bought Black Beard's Pirate Ship by Play Mobil and my son is very happy with that toy. He needed more adult help with the assembly, but it stayed together once it was assembled and now he's having lots of fun playing with it."
1,wouldn't buy this ship for kids younger then 6,my son got the pirate ship for a gift and he is 4 years old. he got so frustrated with it because all of the pieces kept folling off. the mast wouldn't stay up for anything! and the nets to the mast would not fit. I don't know what fisherprice is thinking with this toy line but this one was horrible.
1,Don't Order This!,"This ships without the Curriculum Starter Cards. I ordered and received an 11 page guide to using the Starter Cards. I was told by the customer service rep at Amazon that they were sorry I misunderstood the contents. They advised me to return the item, which I did. I am trying to save anyone else the frustration of getting a guide to using nonexistent cards for $40."
1,never received book,I've been in contact with the book supplier and have waited now for a month for the book. Each time i write them they tell me to write back in a week.Very disappointed to not have this gift to put under the tree.
1,Terrible toy,"I can remember when Fisher-Price toys were a whole lot friendlier...all the characters have weapons and ""fierce"" expressions. A friend of mine bought this for her three yr old daughter because she saw the box and begged, then after it was opened, the girl refused to play with the ""mean people"". The concept is good, but why does it have to be so violently oriented?"
1,Falls Apart Constantly,"My three-year-old boy loves pirates, so I was thrilled to get him this ship. Unfortunately, the ship took me a while to assemble, and comes apart instantly. The three pieces of the boat separate constantly, the rigging and railing pops right off, and the masts regularly fall over. There are a lot of small pieces, which are OK for him, but could be a problem for other young children. He still likes the boat, but playing with it requires a fair amount of adult assistance as it is constantly falling apart. I personally wouldn't even purchase it for an older child, but maybe you would be OK in the over seven-age group."
1,Not OEM genuine Brother TN350 Cartridges,The title on the description and the picture leads you to believe that this is an OEM genuine product but it appears to be a remanufactured product when it arrived. Do not buy if you want orignial OEM Brother TN-350.
1,Toner Purchase,I did not receive what I ordered. I ordered Brother toner and got generic recycled toner cartridge. Will never purchase from this company again.
1,Buyer Beware,"Printer says ""No toner cartridge"" when it is installed. The old cartridge works just fine except that it is out of toner so I KNOW it is the cartridge. Because the sticker got scraped off by me putting it in the machine so many times and trying to get it to work, Brother will not accept the return. I feel totally ripped off.....$44 for NOTHING! I think I'll just buy a different brand printer!!!"
1,Falls Apart Constantly,"This item is horrible. It falls apart constantly. We tried hot gluing and superglue, however, NOTHING works. Even our 4-1/2 YR son has told us to throw this out he is so frustrated.Part of appeal was you can take Imaginext items & reconfigure them, great concept. However, no matter how you configure them, they ALL fall apart.During assembly notice they do not ""click"" as you would expect. Pieces never lock together, even with the bottom ""base"" pieces.We resorted to putting all the Imaginext on a table for him to play, however, flat surface, bumpy surface, any surface, it falls apart.(...)When a 4-1/2 YR wants you to throw out his toys, somethings wrong!"
1,SOUTHWORTHBOOKS AND THINGS,"I ordered this book two weeks ago from southworth books and things and along with this book i ordered a couple other books and a new canning kit, i have received everything but this book, I was excited to get this book since I read a lot of home and garden publications but everyone keeps telling me to wait a couple more weeks and see if i get it, I am starting to get frustrated and south worth books said it would have gotten mailed out two days after i ordered it, that means it has been in limbo for almost a full two weeks and nothing is being done about it. If you plan on ordering this book or any other do not order from south worth books and things"
1,Tough and Boring,"He's got a lot to say, but I didn't find it at all inspiring. I guess if I had a coach the helped me practice these principles it would work. But it's tough and boring to learn from a book."
1,Brother Drum,"Ordered Brother Drum and the drum was defective. Printer indicated ""dust on drum"" and would not function. Would not work in any other printers in the office that use the same type drum. Had to return drum, have not received replacement yet. Unable to use machine. Hope next drum is not defective."
1,CARTRIDGE DOESN'T WORK WITH A BROTHER MFC-7220,"Don't order this ""generic"" less expensive cartridge as a replacement for a Brother MFC-7220 (multi-function printer/copier/fax)cartridge. Worked OK for a few days but copies were very smudgy with black outline on edges. After a few days, repeatedly received a ""drum error message"" and with resultant printer jams. Finally gave up trying to print with this less expensive cartridge and ordered the Brother brand cartridge, which works fine."
1,box was resealed and the foil bag was torn open,"Ships from and sold by listing showed on this itembut when I received the item , it was from a closeout storethe box was resealed and the foil bag was torn open.appeared to be possibly used."
1,Not for fans of TR,"As an admirer of Theodore Roosevelt, I was very disappointed in Mr. Brands' book. It appeared to me that Mr. Brands' intent was to analyze the life of this great man strictly from his critic's point of view. While any good biography worth its salt should present a balanced view of the man, Mr. Brands appears to go out of his way to find fault in almost all of TR's actions. TR was by no means a perfect man, however, history has proven him to be one of our greatest presidents. One gets the sense after reading this dreadfully long and depressing account of TR that Mr. Brands'truly disliked his subject."
1,Too expensive and lasts only two weeks. VERY DISAPPOINTING,"VERY DISAPPOINTING!!!Ink was empty VERY fast. I was only able to print about 250-300 pages. Horrible! I didn't expect it's going to end so fast and now only after several weeks I'm stuck with ""Change Toner"""
1,Poor Quality,"The donor roll (the rubber roll you see with the toner on it) had a ding in it which resulted in a large dot every inch or so all the way down every page printed.I poured the toner out of the new cartridge and into the old one.New or refurbished, I was ripped off."
1,Amazon selling knockoff as Brother TN-350,"I decided to spend a little extra money to buy directly from Amazon -- not from one of the stores that sells through Amazon -- to make sure that I was actually buying a REAL Brother toner cartridge. Sadly, Amazon sent me a knockoff refurbished cartridge that didn't even make it to 2000 copies. Don't let Amazon's picture of the Brother TN-350 box fool you, they may send you a knockoff."
1,Defective unit,"It's above 40 degrees outside, so the heater base shouldn't even be on, but the hen's water was so hot it was steaming. It wasn't just the water in the lower lip that they drink from, but when I opened the water container, all of the water was approx the temp of a hot bath. I don't know if the hens have been drinking it, but it would be uncomfortably hot for a human. I will attempt to return the heater and hope that a replacement will not do this, but if you go for this unit, check the water often to make sure that it's shutting off when it's supposed to."
1,lasted only 4 months,"This worked very well for us for about 4 months, then it just stopped heating. We made it just to the end of our winter months, but I certainly expected to use this for more than one season. Disappointing. I'm back on Amazon today, looking for a replacement."
1,Refurbished Cartridge sold as new!!!,"This was supposed to be a NEW cartridge, but I actually received a refurbished unit inside of what looked to be an original, brand new packaging. The product arrived in its original ""Brother"" box, in a properly sealed vacuum package, and the box even has a ""genuine Brother"" hologram. However, once I removed the cartridge from the original packaging I immediately realized that it was obviously a refurbished unit. The cartridge itself was all dirty with toner, it had finger prints all over, the screws looked like they had been tampered with, and a new ""warranty seal"" had been placed on top of the original warranty seal. This was definitely a refurbished cartridge, sold in a new packaging and made to look like a new one!!! If you buy it, make sure you check it once you receive it."
1,Adaptador de ipod para jvc,"Me parece que el adapatador para el ipod es muy malo ya que la forma como controlas el ipod con el reproductor es demasiado incomodo, ya que yo he tenido otras pantallas que manejan ipod y esta es la peor, aunque el repro en si no es malo"
1,"Worse, Purchase","I don't like this product and also the company I purchase this from will never take back right after I send then 2email, one before I purchase this item, and the other after they send it, I will never used Amazon to purchase anything else, or partner, Worse company I have done use"
1,Save your money!,"I was hoping that this would be a great compilation CD, but I could barely even listen to it! There is nothing in the description that reveals that the songs on this album were recorded live and it is, quite possibly, one of the most poorly produced albums I've ever heard! Voices and instruments drown each other out in jumps and spurts and I couldn't even recognize some of these classic songs. Do yourself a favor - stay away from his album!"
1,Horrible! Didn't even get 300 pages.,"Super low quality product. Poor print quality.Cartridge was only partially filled (printed less than 300 pages, should print upwards of 2000).Customer service was rude and less than helpful."
1,musical self-destruction,"This is the worst CD I've ever heard - it's painful to see how the band apparently systematically destroys the structure of these originally beautiful songs. (The vocals are horrifying) Sure, this CD has all the big Jefferson tunes on it - but do yourself a favor and don't be fooled into buying this cause it's so cheap. I actually suspect this is some kind of bootleg of a live concert. This CD should never have been produced"
1,Should have just gotten a cd changer,I thought it would be a good idea to be able to run a wire to my glove compartment leave my old ipod video in there then who ever was in my passenger seat could change the song. However there is no way of setting it so you can use the ipod interface much easier to just plug my iPhone into the front.Comes with a lot of unnecessary wiring too. takes up alot of room. really hard to fit between my bluetooth adapter and my cigarette lighter since that was the only place it could go.
1,Worst. Interface. Ever.,"Does not work with iPhone or Touch, as many have noted.Used with the iPod models it DOES work with, you will encounter one of the worst user interfaces in the history of consumer electronics. Absolutely no sorting or organization features for music of any kind - no folders, no playlists, no sorting by artist or album. You get an alphabetical list of tracks on your device. Just start with ""A"" and, if you have more than 20 songs on your iPod, settle in for a few hours of scrolling through song titles to get to anything that starts with ""The."""
1,Does not work with ipod Touch or Iphone,I bought this item not knowing what I know now. This adapter does not work with Ipod Touch or Iphone. You can google this adapter and will find the same information.
1,Disapointed,I was assured by the seller that this product would work with my radio -- not so. I need to contact and return
1,Waste of time,"For the JVC receiver I got it is a waste of time and money. My receiver already got an USB conector and it is much easier to operate the Ipod using the USB conection than using this adaptor. I expected that the operations should more similar to operating the Ipod itseft, but it is a big mess. I finaly gave up and now I only hook up my Ipod inthe USB connector of the receiver."
1,Doesn't work properly with IPod Video and JVC KD-HDR1,I bought this device expecting full controlling my IPod Video via JVC KD-HDR1 head unit but after installation got only charging and sound transfer from IPod to head unit. VERY disappointed but at list I can listen music.
1,DECEPTIVE MARKETING,"The title of this is deceptive marketing. It should be a crime to mislabel an album like this.These are not ""extended"" versions by any means, but simply badly recorded live versions. The only ""extension"" is the addition of alot - did I mention ""alot""? - of audience noise. A complete waste.Buy the individual albums or Greatest Hits instead."
1,"Connects the iPod to my car stereo, lacks usability","The reason i bought this product was because i was hoping to make driving safer. It's good to have the controls for the iPod on the stereo instead of looking for the iPod and then looking for a particular song.This product just made my driving more dangerous. The menu system on this is slow, it does not remember where you are browsing so everytime you have to start browsing right from the beginning, and this would be single biggest issue with this product. If it just remembered where i am in the menu.Don't get this if you think it will make your life easier while driving."
1,Do not purchase if you have an IPOD Touch,I bought this for use with my Ipod Touch and it doesn't recognize the ipod at all - it is useless for me......
1,Very disappointed!,"No drills? Very little instruction! I was very disappointed. I have heard good things about TI, but I just wasted my money on this dvd. I can not believe I paid good money for this video!!! It was like watching a very long commercial. Total waste of time and money. If it was free I would not watch it. This is my first negative review. I just had to worn other people!."
1,"If it streaks, you're out of luck","I always buy only the manufacturer's toner to make sure it's high quality, and I always keep a couple in stock. The last one streaked. I called Brother and went through the company's troubleshooting process by phone, and the service tech concluded that there was indeed a problem with the cartridge, but because I had purchased it 3 months ago, they would not replace it. I offered to send them the cartridge so they could make sure it was a brand new toner cartridge. The tech said no. If we all do business only with those companies that use fairness and common sense; we will create a better world."
1,Not happy with it.,"Non-intuitive navigation. You have to start at ""A"" every time you select from top level play list or ""artist"", ""Album"" , ""Genre"" etc.Also after finally find what album/artist you wish to play and start to preview the tracks; All the sudden the word ""stop"" comes up on the LCD display and you can not go anywhere, no previous,next track etc can be accessed anymore. Then you have to start all the way from the top and go through all the A's,B's,C's and so on. It is a pain in the butt!If your head unit accepts AUX input via 1/8, connect your Ipod that way. You will be able to navigate much faster that way and avoid the stupid ""stop"" message.I gave it two stars because it does actually interface with the I-pod to some degree. That where it stops."
1,"If you want a giant mess on your hands, this is perfect","Decided to replace working generic (but fading) cartridge with an official TN-350 Brother cartridge for my beloved Brother laser printer. There was some toner loose in the cartridge bag, which I took as a bad sign, but I HAD to print out postage for a customer package this morning.Big mistake - after I followed their directions to replace the cartridge and tried to print, nothing happened. I opened up the printer to find that toner had POURED out all over the inside of the printer, the table, the floor, the sheaf of expensive paper inside. It'll cost hours that I don't have to clean it all out, if if even can be cleaned completely. The paper is ruined regardless. My customer is going to be very unhappy about the delay.Manufaturing defects are completely unacceptable for any cartridge, much less an expensive one like this.Lesson learned: Buy generic. At the very least, it can't be any worse, and may be much better."
1,Web attack,How to start? Prologue to long. Not enough dialogue. Too many points of view and an ending that falls on its face
1,Very unhappy with this book,"It did not flow at all. The violence was crude, the characters were not developed at all. I could not get through more than 40%, which was a real push. I tried to skip ahead just to follow the plot lines, and was unable to continue."
1,Cost me a once in a lifetime trip to Rome!,"I purchased my new SanDisk Ultra II 256 MB CF card in April for a trip to Italy in May. I filled the card up with pictures (Canon Elf) and all seemed well. I was able to review the pictures on the camera while in Rome fine. When I returned to the States, the CF card was unreadable by any computer. Even a Data Recovery company said it was corrupted beyond recovery. I seem to have lost about 80 pictures of a once in a lifetime trip to Rome Italy. Thanks Sandisk."
1,Fast Card,"I have a Canon G5. When compared to a standard Kingston and SimpleTech CF card, the Sandisk Ultra II seems to operaate up to 60% faster when taking new pictures or browsing existing pictures on the card. As far as transfer rates to the PC, I don't see any difference in performance using a USB1.1 interface, either directly from the camera or from a USB card reader. This card operates fast between shots and is worth the premium if you have a fast camera that can take advantage of its speed. One of the newer SLR digitals would be a great pairing with this card. Great product."
1,Received it opened and unsealed,"I was very disappointed to see that the box was unsealed, the toner (normally sealed) bag was open and the toner cartridge looked used. The installation instructions were missing. It felt like this was a returned product that was passed off. Very, very annoying."
1,Card conked off after a year of use.,A sandisk card that I'd purchased conked after one year of use. I don't think its worth buying a cheap product that's going to last only a year. I'd rather buy a expensive brand thats going to last me at least 3-4 years.
1,Worst Weber I have read,I can't wait until a new novel by David Weber comes out. I was extremely disappointed in this work. I had read the original and had found it mediocre. This added nothing but alot of words. There is little plot and no character development beyond the main character. I am glad I didn't buy this one. Probably only one I don't own.
1,Weak. Very weak.,"I've been a fan of David Weber for years; in fact, Mutineer's Moon and its sequels is still one of my favorite series. The first 4 or 5 Harrington books rocked, and I lovedPath of the Fury.But I've noticed a trend with Weber in the last few years - the last few Harrington books got so bogged down with political and technical claptrap that the story disappeared. It's very disappointing, because Weber used to be able to tell a darn good story.In Fury Born has followed the precedent; I couldn't get past the first 100 pages because of all the other stuff getting in the way. Which is too bad, because I always wanted to know DeVries' backstory."
1,don't waste your money,"I bought 3!Ok, yeah they are fun till they break. The rotor's broke, so instructed me to use TAPE if this should happen. Still messed up!! I tried to find replacement rotors.... Oh yeah, I got em all right, but the rotors were set OPPOSITE than the original rotors for the helicopter. So instead of flying UP, it goes nowhere!! I still have not been able to find the CORRECT rotors!! I am open to any suggestions if you can find them!"
